createddate,sales
2021-01-01,2760838.47
2021-02-01,2571772.19
2021-03-01,2554172.56
2021-04-01,2507022.44
2021-05-01,2786049.42
2021-06-01,2691301.75
2021-07-01,2940184.87
2021-08-01,3080534.27
2021-09-01,2837885.89
2021-10-01,2968038.0
2021-11-01,2943895.31
2021-12-01,3158026.06
2022-01-01,3641005.06
2022-02-01,2557529.72
2022-03-01,3010491.27
2022-04-01,2857377.13
2022-05-01,2941887.9
2022-06-01,2693283.88
2022-07-01,2893895.93
2022-08-01,2809983.79
2022-09-01,2688677.98
2022-10-01,2908120.62
2022-11-01,2868795.99
2022-12-01,3196795.78
2023-01-01,3272680.55
2023-02-01,2474551.89
2023-03-01,2742228.77
2023-04-01,2815623.7
2023-05-01,2835063.98
2023-06-01,2639353.8
2023-07-01,2937539.05
2023-08-01,2811799.89
2023-09-01,2753116.89
2023-10-01,2761009.05
2023-11-01,2753279.0
2023-12-01,3190922.62
2024-01-01,3103366.42
2024-02-01,2840693.33
2024-03-01,2891010.57
2024-04-01,2660872.22
2024-05-01,2885247.58
2024-06-01,2757337.59
2024-07-01,2753447.0
2024-08-01,2838790.19
2024-09-01,2785385.63
2024-10-01,2729653.13
2024-11-01,2890376.35
2024-12-01,3187926.09
2025-01-01,3519576.66
2025-02-01,2451401.77
2025-03-01,2498217.47
